Date,HomeTeam,AwayTeam,FTR,Season,played,BTTS,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,HSc_1,ASc_1,HLM_2,ALM_2,AAG_2,HAG_2,HSc_2,ASc_2,HLM_3,ALM_3,AAG_3,HAG_3,HSc_3,ASc_3,HLM_4,ALM_4,AAG_4,HAG_4,HSc_4,ASc_4,HLM_5,ALM_5,AAG_5,HAG_5,HSc_5,ASc_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2013-12-07,16,18,A,1314,1,0.0,0,0.0,1.0,2.0,5.0,8.0,0.0,3.0,6.0,9.0,12.0,11.0,10.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,9.0,11.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,0
2013-12-07,21,15,D,1314,1,1.0,0,0.0,0.0,0.0,3.0,4.0,3.0,6.0,9.0,9.0,12.0,11.0,24.0,1,1,0.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,7.0,14.0,1.3333333333333333,2.6666666666666665,2.0,1.6666666666666667,0
2013-12-07,22,7,H,1314,1,1.0,0,1.0,1.0,4.0,5.0,6.0,3.0,6.0,9.0,10.0,10.0,5.0,18.0,3,0,1.0,3.0,4.0,0.0,0.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,10.0,2.3333333333333335,1.0,0.3333333333333333,1.3333333333333333,1
2013-12-07,23,25,A,1314,1,1.0,0,0.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1.0,13.0,0,3,0.0,3.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,13.0,6.0,0.6666666666666666,2.0,3.6666666666666665,2.0,1
2013-12-07,27,19,A,1314,1,0.0,0,0.0,0.0,1.0,2.0,5.0,0.0,3.0,3.0,6.0,6.0,6.0,11.0,0,3,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,8.0,0.6666666666666666,2.0,2.6666666666666665,0.3333333333333333,0
2013-12-08,1,9,D,1314,1,1.0,0,3.0,6.0,9.0,9.0,12.0,3.0,6.0,7.0,8.0,9.0,16.0,17.0,1,1,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,12.0,18.0,1.0,2.0,1.0,1.0,0
2013-12-08,10,2,H,1314,1,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,8.0,9.0,3.0,13.0,3,0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,12.0,4.0,1.6666666666666667,1.0,2.3333333333333335,1.0,0
2013-12-09,24,12,D,1314,1,1.0,0,3.0,3.0,6.0,7.0,7.0,0.0,3.0,3.0,3.0,6.0,12.0,11.0,1,1,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0,9.0,0.3333333333333333,2.0,2.3333333333333335,1.0,0
2013-12-14,6,27,H,1314,1,0.0,0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,9.0,9.0,3,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,7.0,8.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0
2013-12-14,7,8,H,1314,1,1.0,0,0.0,3.0,6.0,9.0,10.0,3.0,6.0,6.0,9.0,10.0,12.0,10.0,3,0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,19.0,0.3333333333333333,2.3333333333333335,2.3333333333333335,0.3333333333333333,1
