Date,HomeTeam,AwayTeam,FTR,Season,played,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,AAGC_1,HAGC_1,HLM_2,ALM_2,AAG_2,HAG_2,AAGC_2,HAGC_2,HLM_3,ALM_3,AAG_3,HAG_3,AAGC_3,HAGC_3,HLM_4,ALM_4,AAG_4,HAG_4,AAGC_4,HAGC_4,HLM_5,ALM_5,AAG_5,HAG_5,AAGC_5,HAGC_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2013-11-09 00:00:00,11,15,A,1314,1,0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,6.0,7.0,7.0,10.0,5.0,0,3,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,0.0,0.5,4.0,0.5,1
2013-11-09 00:00:00,13,1,A,1314,1,0,0.0,3.0,3.0,6.0,6.0,1.0,4.0,5.0,8.0,11.0,1.0,15.0,0,3,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,16.0,9.0,1.5,1.0,1.0,2.0,1
2013-11-09 00:00:00,14,8,H,1314,1,0,3.0,6.0,6.0,9.0,10.0,0.0,3.0,6.0,6.0,6.0,6.0,4.0,3,0,3.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,13.0,0.5,3.0,1.5,0.5,1
2013-11-17 00:00:00,15,13,H,1314,1,0,3.0,3.0,6.0,9.0,10.0,0.0,0.0,3.0,3.0,6.0,6.0,9.0,3,0,3.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,5.0,0.0,4.0,2.0,0.0,1
2013-11-23 00:00:00,1,0,H,1314,1,0,3.0,4.0,7.0,8.0,11.0,0.0,3.0,6.0,9.0,9.0,15.0,11.0,3,0,1.0,3.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0,2.0,1.0,10.0,11.0,1.0,1.0,0.5,2.0,1
2013-11-23 00:00:00,3,11,H,1314,1,0,3.0,4.0,7.0,7.0,10.0,0.0,0.0,0.0,3.0,3.0,12.0,3.0,3,0,3.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,4.0,1.0,0.0,10.0,10.0,1.0,4.0,2.5,0.0,1
2013-11-23 00:00:00,5,13,D,1314,1,0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,5.0,9.0,1,1,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,1.0,7.0,0.5,0.0,2.0,2.0,1
2013-11-23 00:00:00,7,14,H,1314,1,0,3.0,6.0,6.0,6.0,9.0,3.0,6.0,9.0,9.0,12.0,7.0,15.0,3,0,3.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0,3.0,3.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,5.0,15.0,2.5,1.5,2.0,1.0,0
2013-11-23 00:00:00,8,10,A,1314,1,0,0.0,0.0,3.0,6.0,6.0,0.0,3.0,3.0,6.0,6.0,5.0,12.0,0,3,3.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,7.0,0.0,2.0,2.0,0.5,0
2013-11-23 00:00:00,15,6,D,1314,1,0,3.0,6.0,6.0,9.0,12.0,0.0,0.0,0.0,1.0,4.0,9.0,5.0,1,1,3.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,9.0,8.0,0.5,3.0,0.5,0.0,0
2013-12-06 00:00:00,10,1,A,1314,1,0,3.0,3.0,6.0,6.0,9.0,3.0,6.0,7.0,10.0,11.0,13.0,18.0,0,3,0.0,3.0,4.0,0.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,1.0,3.0,19.0,15.0,2.3333333333333335,1.0,1.0,2.0,1
2013-12-07 00:00:00,3,5,H,1314,1,0,3.0,6.0,7.0,10.0,10.0,1.0,4.0,4.0,4.0,4.0,15.0,7.0,3,0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,13.0,1.3333333333333333,4.0,1.6666666666666667,1.5,1
2013-12-07 00:00:00,6,11,D,1314,1,0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,11.0,3.0,1,1,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,10.0,6.0,1.0,0.3333333333333333,3.0,0.3333333333333333,0
2013-12-07 00:00:00,13,8,A,1314,1,0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,0,3,0.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,1.0,2.0,9.0,0.6666666666666666,1.0,2.0,1.5,1
2013-12-07 00:00:00,14,0,A,1314,1,0,0.0,3.0,6.0,9.0,9.0,0.0,0.0,3.0,6.0,9.0,6.0,11.0,0,3,3.0,0.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,10.0,16.0,1.0,3.0,1.3333333333333333,0.6666666666666666,0
2013-12-07 00:00:00,15,7,D,1314,1,0,1.0,4.0,7.0,7.0,10.0,3.0,6.0,9.0,9.0,9.0,10.0,21.0,1,1,1.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,10.0,9.0,1.0,2.0,2.0,0.6666666666666666,0
2013-12-14 00:00:00,0,15,H,1314,1,0,3.0,3.0,3.0,6.0,9.0,1.0,2.0,5.0,8.0,8.0,15.0,6.0,3,0,0.0,3.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,13.0,1.5,2.0,2.0,1.6666666666666667,0
2013-12-14 00:00:00,1,6,H,1314,1,0,3.0,6.0,9.0,10.0,13.0,1.0,2.0,2.0,2.0,2.0,18.0,6.0,3,0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,10.0,14.0,0.3333333333333333,2.0,0.3333333333333333,1.0,0
2013-12-14 00:00:00,5,7,A,1314,1,0,0.0,1.0,4.0,4.0,4.0,1.0,4.0,7.0,10.0,10.0,5.0,22.0,0,3,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,11.0,8.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0
2013-12-14 00:00:00,8,3,A,1314,1,0,3.0,3.0,3.0,3.0,6.0,3.0,6.0,9.0,10.0,13.0,8.0,11.0,0,3,0.0,3.0,4.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,4.0,10.0,7.0,2.5,1.3333333333333333,0.5,1.6666666666666667,1
2013-12-14 00:00:00,13,10,A,1314,1,0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,6.0,6.0,2.0,12.0,0,3,0.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,10.0,9.0,0.6666666666666666,1.0,1.3333333333333333,1.6666666666666667,1
2013-12-21 00:00:00,1,5,H,1314,1,0,3.0,6.0,9.0,12.0,13.0,0.0,0.0,1.0,4.0,4.0,21.0,7.0,3,0,3.0,0.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,4.0,17.0,1.25,1.6666666666666667,2.25,1.0,0
2013-12-21 00:00:00,3,13,H,1314,1,0,3.0,6.0,9.0,12.0,13.0,0.0,0.0,1.0,1.0,1.0,18.0,9.0,3,0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,16.0,1.0,4.0,2.0,1.6666666666666667,0
2013-12-21 00:00:00,6,14,D,1314,1,0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,6.0,9.0,11.0,15.0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,5.0,7.0,1.6666666666666667,0.5,1.6666666666666667,0.25,0
2013-12-21 00:00:00,7,0,A,1314,1,0,3.0,4.0,7.0,10.0,13.0,3.0,6.0,6.0,6.0,9.0,10.0,14.0,0,3,3.0,3.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,13.0,18.0,1.25,1.3333333333333333,1.0,1.3333333333333333,1
2013-12-21 00:00:00,8,11,H,1314,1,0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,8.0,4.0,3,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,11.0,7.0,1.0,1.25,2.5,1.5,1
2013-12-21 00:00:00,10,15,H,1314,1,0,3.0,3.0,6.0,6.0,9.0,0.0,1.0,2.0,5.0,8.0,16.0,6.0,3,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,2.0,0.0,6.0,15.0,1.0,0.75,2.0,1.5,1
2013-12-26 00:00:00,0,10,A,1314,1,0,3.0,6.0,9.0,9.0,9.0,3.0,6.0,6.0,9.0,9.0,18.0,15.0,0,3,3.0,3.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,13.0,16.0,1.0,2.0,1.25,1.75,0
2013-12-26 00:00:00,5,8,A,1314,1,0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,6.0,6.0,6.0,5.0,7.0,0,3,0.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,8.0,1.0,0.5,1.75,1.5,1
2013-12-26 00:00:00,11,7,D,1314,1,0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,7.0,10.0,10.0,22.0,1,1,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,3.0,1.0,0.3333333333333333,1.0,1.0,0
2013-12-26 00:00:00,13,6,A,1314,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,7.0,0,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,10.0,9.0,0.25,1.0,0.5,1.25,0
2013-12-26 00:00:00,14,1,A,1314,1,0,1.0,1.0,1.0,4.0,7.0,3.0,6.0,9.0,12.0,15.0,7.0,21.0,0,3,0.0,3.0,5.0,0.0,0.0,5.0,3.0,3.0,4.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,5.0,22.0,16.0,3.0,2.25,0.75,1.75,0
2013-12-26 00:00:00,15,3,H,1314,1,0,0.0,0.0,1.0,2.0,5.0,3.0,6.0,9.0,12.0,15.0,10.0,14.0,3,0,1.0,3.0,4.0,0.0,1.0,4.0,1.0,3.0,4.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,10.0,3.0,1.5,0.6666666666666666,1.5,1
2013-12-29 00:00:00,0,13,H,1314,1,0,0.0,3.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,18.0,9.0,3,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,16.0,0.75,1.6,1.75,1.4,0
