Date,HomeTeam,AwayTeam,FTR,Season,played,BTTS,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,HSc_1,ASc_1,HLM_2,ALM_2,AAG_2,HAG_2,HSc_2,ASc_2,HLM_3,ALM_3,AAG_3,HAG_3,HSc_3,ASc_3,HLM_4,ALM_4,AAG_4,HAG_4,HSc_4,ASc_4,HLM_5,ALM_5,AAG_5,HAG_5,HSc_5,ASc_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2012-11-10,4,9,D,1213,1,1.0,0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,4.0,1.0,8.0,1,1,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,8.0,6.0,1.0,1.6666666666666667,2.5,0.3333333333333333,1
2012-11-10,14,10,A,1213,1,1.0,0,0.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,0,3,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,6.0,0.5,1.5,2.0,1.0,1
2012-11-10,17,13,D,1213,1,0.0,0,0.0,3.0,6.0,9.0,12.0,3.0,3.0,4.0,7.0,10.0,11.0,14.0,1,1,3.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,12.0,13.0,0.5,3.5,3.0,1.0,0
2012-11-10,23,6,D,1213,1,0.0,0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,3.0,6.0,6.0,4.0,4.0,1,1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,1.0,0.0,2.5,0
2012-11-10,25,11,D,1213,1,1.0,0,3.0,6.0,9.0,9.0,12.0,0.0,0.0,3.0,6.0,6.0,19.0,10.0,1,1,3.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,7.0,12.0,1.3333333333333333,2.3333333333333335,3.0,0.6666666666666666,0
2012-11-11,1,7,H,1213,1,1.0,0,3.0,6.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,12.0,16.0,3,0,3.0,0.0,2.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,9.0,16.0,1.5,3.5,2.5,2.0,1
2012-11-11,8,3,H,1213,1,1.0,0,3.0,3.0,4.0,7.0,8.0,3.0,6.0,6.0,9.0,10.0,11.0,13.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,5.0,14.0,1.0,1.5,0.0,0.5,1
2012-11-17,4,8,H,1213,1,1.0,0,1.0,1.0,4.0,4.0,4.0,3.0,6.0,6.0,7.0,10.0,2.0,17.0,3,0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,11.0,7.0,1.5,1.75,2.0,0.75,1
2012-11-17,6,11,D,1213,1,1.0,0,1.0,1.0,1.0,4.0,7.0,1.0,1.0,1.0,4.0,7.0,10.0,11.0,1,1,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,8.0,4.0,1.25,1.0,2.25,2.0,0
2012-11-17,14,9,H,1213,1,0.0,0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,6.0,9.0,3,0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,0
2012-11-17,17,3,A,1213,1,1.0,0,1.0,1.0,4.0,7.0,10.0,0.0,3.0,6.0,6.0,9.0,12.0,13.0,0,3,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,5.0,14.0,1.0,2.3333333333333335,0.0,1.0,1
2012-11-17,23,7,A,1213,1,1.0,0,1.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0,7.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1
2012-11-18,1,13,H,1213,1,0.0,0,3.0,6.0,9.0,9.0,12.0,1.0,4.0,4.0,5.0,8.0,15.0,15.0,3,0,3.0,1.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,13.0,19.0,0.3333333333333333,4.333333333333333,4.0,1.3333333333333333,0
2012-11-18,15,10,H,1213,1,0.0,0,3.0,6.0,9.0,12.0,15.0,3.0,3.0,3.0,3.0,3.0,15.0,11.0,3,0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,6.0,12.0,1.3333333333333333,2.0,2.0,1.6666666666666667,0
2012-11-18,25,21,D,1213,1,0.0,0,1.0,4.0,7.0,10.0,10.0,0.0,3.0,6.0,9.0,9.0,20.0,15.0,1,1,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,7.0,13.0,1.25,2.0,1.75,0.75,0
2012-11-23,21,14,H,1213,1,0.0,0,1.0,1.0,4.0,7.0,10.0,3.0,3.0,3.0,6.0,6.0,8.0,9.0,3,0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,6.0,15.0,0.5,2.0,1.5,1.6666666666666667,1
2012-11-24,3,15,A,1213,1,1.0,0,3.0,3.0,6.0,9.0,9.0,3.0,6.0,9.0,12.0,15.0,11.0,15.0,0,3,3.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,15.0,16.0,2.0,2.0,2.25,1.25,1
2012-11-24,9,25,A,1213,1,0.0,0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,8.0,11.0,8.0,10.0,0,3,0.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,0
2012-11-24,10,1,A,1213,1,1.0,0,0.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,12.0,12.0,6.0,17.0,0,3,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,10.0,11.0,2.0,1.0,2.0,2.0,1
2012-11-24,13,4,H,1213,1,1.0,0,0.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,7.0,7.0,9.0,9.0,3,0,3.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,11.0,1.3333333333333333,2.5,2.3333333333333335,1.0,1
2012-11-24,11,23,A,1213,1,0.0,0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,4.0,4.0,4.0,8.0,6.0,0,3,0.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,10.0,0.6666666666666666,2.0,1.3333333333333333,1.0,0
2012-11-25,7,6,H,1213,1,0.0,0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,5.0,9.0,5.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,3.0,3.0,4.0,1.0,1.0,10.0,13.0,0.6666666666666666,1.0,0.0,1.6666666666666667,0
2012-11-25,8,17,D,1213,1,1.0,0,0.0,3.0,6.0,6.0,7.0,0.0,1.0,1.0,4.0,7.0,11.0,10.0,1,1,3.0,0.0,0.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,17.0,1.5,2.6666666666666665,3.5,0.3333333333333333,0
2012-12-01,1,4,H,1213,1,1.0,0,3.0,6.0,9.0,12.0,15.0,0.0,3.0,4.0,4.0,7.0,18.0,9.0,3,0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,6.0,1.0,1.0,3.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,22.0,1.25,3.5,2.0,1.25,1
2012-12-01,6,13,H,1213,1,0.0,0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,7.0,7.0,10.0,18.0,3,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,13.0,5.0,0.25,1.0,3.25,1.3333333333333333,0
